;Tour de France;TDF Podium;TDF Top 5;TDF Top 10;TDF Bjerg/Point;TDF Etape;TDF Førertrøje;Grand Tour;GT Podium;GT Top 5;GT Top 10;GT Bjerg/Point;GT Etape;GT Førertrøje;Monument;Monument Top 3;Monument Top 5;WTT A;WTT A Top 3;WTT A Etape;WTC A;WTC A Top 3;WTT B;WTT B Top 3;WTT B Etape;WTC B;WTC B Top 3;WTT C;WTC C;WTT D;WTC D;NM A;NM A - ITT;NM B;NM B - ITT;OL-guld;OL-sølv;OL-bronze;OL ITT-guld;OL ITT-sølv;OL ITT-bronze;VM-guld;VM-sølv;VM-bronze;VM Top 5;VM ITT-guld;VM ITT-sølv;VM ITT-bronze;EM-guld;EM-sølv;EM-bronze;EM ITT-guld;EM ITT-sølv;EM ITT-bronze;OL-guld (amatør);OL-sølv (amatør);OL-bronze (amatør);OL-guld ITT (amatør);OL-sølv ITT (amatør);OL-bronze ITT (amatør);Andre
Point;120;45;20;8;20;12;4;80;30;13;5;13;8;2;50;13;3;25;7;3;20;4;15;3;2;14;2;8;8;4;4;5;2;3;1;65;30;25;40;20;16;80;23;17;3;35;10;7;18;3;2;10;2;1;20;8;5;15;6;4;0
;;;;;;;;;;;;;;;Cuca Cocoa Cup;Cuca Cocoa Cup;Cuca Cocoa Cup;;;;Berlin-Cottbus-Berlin;Berlin-Cottbus-Berlin;Paris - Saint-Etienne;Paris - Saint-Etienne;Paris - Saint-Etienne;North Road 100;North Road 100;Tirreno-Adriatico <1986;E3 Saxo Bank Classic <2012;Tour de Pologne 1994-2004;Paris-Tours >2007;;;Litauen (2012-2016);Litauen (2012-2016);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Grand Prix Wolber;Grand Prix Wolber;Grand Prix Wolber;;;;Bordeaux-Paris 1946-1970;Bordeaux-Paris 1946-1970;Roma-Napoli-Roma 1908-1911 + 1913, 1919, 1930 + >1949;Roma-Napoli-Roma 1908-1911 + 1913, 1919, 1930 + >1949;Roma-Napoli-Roma 1908-1911 + 1913, 1919, 1930 + >1949;Paris-Nantes-Paris;Paris-Nantes-Paris;UAE Tour <2019;Gran Piemonte 1934-1940 + 1947 + 1949-1953 + 1977-1994;Tour Down Under <2008;Bretagne Classic - Ouest-France 1975-1996;;;Luxembourg (1936-1940 + 1948 + 1950-1961 + 2005-2010 + 2016);Luxembourg (1951 + 2005-2010 + 2016);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;North Road 24 Hour Road Race <1897;North Road 24 Hour Road Race <1897;North Road 24 Hour Road Race <1897;;;;Bordeaux-Paris-Bordeaux;Bordeaux-Paris-Bordeaux;Ronde de France;Ronde de France;Ronde de France;Paris-Rennes <1926;Paris-Rennes <1926;Volta Ciclista a Catalunya 1955-1997;Liege-Bastogne-Liege 1925-1929;Volta Ciclista a Catalunya <1955;BEMER Cyclassics <1998;;;Norge (1990 + >2007);Norge (1990 + >2007);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Paris-Brest-Paris;Paris-Brest-Paris;Paris-Brest-Paris;;;;Circuit de Paris;Circuit de Paris;Völkerschlacht-Jubiläumsfahrt;Völkerschlacht-Jubiläumsfahrt;Völkerschlacht-Jubiläumsfahrt;Paris-Spa;Paris-Spa;GP du Midi-Libre 1961 + 1966-1988;Milano-Torino 1931-1979 + 1988-1990;Circuit de Belgique 1940-1944;Minerva Classic Brugge-De Panne 2018;;;Polen (1995-1997 + 1999-2004 + 2012-2022);Polen (1996-1997 + 1999-2004 + 2012-2022);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Gran Fondo - La Seicento <1941;Gran Fondo - La Seicento <1941;;;;Rund um Berlin;Rund um Berlin;G.P. Sporting 1921;Bordeaux-Paris >1970;Critérium International 1963-1966 + >1977;Dwars door Vlaanderen <2017;;;Portugal (1975-1979 + 1984 + 2010-2016 + >2019);Portugal (1975 + 2010-2016 + >2019);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Lyon-Paris-Lyon;Lyon-Paris-Lyon;;;;Wien-Graz-Triest;Wien-Graz-Triest;Paris-Luxembourg;Genoa-Nice 1910 + 1957-1964;Giro del Lazio (<1937 + 1958);Eschborn-Frankfurt <1924 + 1928-1961 + 1989-1994 + 1996-2016;;;Rusland (<2022);Rusland (<2022);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Roma-Napoli-Roma <1908 + 1912, 1914 + 1920-1929 + 1931-1949;Roma-Napoli-Roma <1908 + 1912, 1914 + 1920-1929 + 1931-1949;;;;;;Setmana-Catalana 1972-1978;Giro di Romagna <1924;GP du Midi-Libre <1961 + 1962-1965 + >1988;Liege-Bastogne-Liege <1919;;;Schweiz (1904 + 1912-1970 + >1975);Schweiz;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Züri-Metzgete >1971;Züri-Metzgete >1971;;;;;;Tour de l'Ouest <1946 + >1958;G.P. Sporting <1921 + >1921;Setmana-Catalana 1967-1971 + >1978;Omloop Het Nieuwsblad <1983 + 1988-2016;;;Slovenien (>2003);Slovenien (>2003);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tour du Sud-Est 1964-1965;G.P. Stan Ockers;Tour de l'Avenir 1981-1990;Strade Bianche <2017;;;Storbritannien (1965-1967 + 1970-1976 + 1987-1998 + 2000 + 2002 + >2003);Storbritannien (<1999 + 2000 + 2002 + >2003);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tour of Beijing;Grand Prix de Lunel;Tour de l'Ouest 1946-1958;Circuit de Belgique <1940 + 1945;;;Sverige (1980-1985 + 1999-2003 + 2007-2009 + 2012-2013);Sverige (1980-1985 + 1999-2003 + 2007-2009 + 2012-2013);;;;;;;;;;;;;;;;;;;;;;;;;;
