Placering;All time;Rytter;Point;Nationalitet;Hold;Årgang
244;2937;Timo Roosen;5;Nederlandene;Jumbo-Visma;1993
244;2937;Pascal Eenkhoorn;5;Nederlandene;Lotto Dstny;1997
244;2937;Olav Kooij;5;Nederlandene;Jumbo-Visma;2001
256;3098;Clement Venturini;4;Frankrig;AG2R Citroën Team;1993
256;3098;Benjamin Thomas;4;Frankrig;Cofidis;1995
256;3098;Christopher Juul Jensen;4;Danmark;Team Jayco AlUla;1989
256;3098;Sergei Chernetski;4;Rusland;-;1990
256;3098;Casper Pedersen;4;Danmark;Soudal - Quick Step;1996
256;3098;Magnus Sheffield;4;USA;INEOS Grenadiers;2002
256;3098;Gonzalo Serrano;4;Spanien;Movistar Team;1994
256;3098;Toms Skujins;4;Letland;Trek - Segafredo;1991
256;3098;Matthew Walls;4;Storbritannien;BORA - hansgrohe;1998
256;3098;Kristijan Koren;4;Slovenien;Adria Mobil;1986
256;3098;Dries Van Gestel;4;Belgien;TotalEnergies;1994
256;3098;Jacopo Guarnieri;4;Italien;Lotto Dstny;1987
256;3098;Arvid de Kleijn;4;Nederlandene;Tudor Pro Cycling Team;1994
269;3370;Jose Mendes;3;Portugal;Victoria Sports;1985
269;3370;Ben Healy;3;Irland;EF Education-EasyPost;2000
269;3370;Marcel Meisen;3;Tyskland;-;1989
269;3370;Martin Toft Madsen;3;Danmark;BHS - PL Beton Bornholm;1985
269;3370;Alex Edmondson;3;Australien;Team DSM;1993
269;3370;Amund Grøndahl Jansen;3;Norge;Team Jayco AlUla;1994
269;3370;Connor Swift;3;Storbritannien;INEOS Grenadiers;1995
269;3370;Domen Novak;3;Slovenien;UAE Team Emirates;1995
269;3370;Artem Nych;3;Rusland;Glassdrive Q8 Anicolor;1995
269;3370;Joni Brandao;3;Portugal;-;1989
269;3370;Jonny Brown;3;USA;Miami Blazers;1997
269;3370;Kyle Murphy;3;USA;L39ION of Los Angeles;1991
269;3370;Michael Schar;3;Schweiz;AG2R Citroën Team;1986
269;3370;Michal Paluta;3;Polen;Global 6 Cycling;1995
269;3370;Miles Scotson;3;Australien;Groupama - FDJ;1994
269;3370;Oscar Quiroz;3;Colombia;Colombia Pacto por el Deporte;1994
269;3370;Robinson Chalapud;3;Colombia;Team Banco Guayaquil - Ecuador;1984
269;3370;Sebastien Reichenbach;3;Schweiz;Tudor Pro Cycling Team;1989
269;3370;Vegard Stake Laengen;3;Norge;UAE Team Emirates;1989
269;3370;Weimar Roldan;3;Colombia;-;1985
269;3370;Jose Neves Fernandes;3;Portugal;-;1995
269;3370;Stanislaw Aniolkowski;3;Polen;Human Powered Health;1997
269;3370;Valentin Ferron;3;Frankrig;TotalEnergies;1998
269;3370;Adam Toupalik;3;Tjekkiet;Elkov - Kasper;1996
269;3370;Michael Kukrle;3;Tjekkiet;Team Felbermayr - Simplon Wels;1994
269;3370;Sven Erik Bystrøm;3;Norge;Intermarché - Circus - Wanty;1992
269;3370;Brandon McNulty;3;USA;UAE Team Emirates;1998
269;3370;Mathieu Burgaudeau;3;Frankrig;TotalEnergies;1998
269;3370;Cees Bol;3;Nederlandene;Team DSM;1995
269;3370;Lucas Hamilton;3;Australien;Team Jayco AlUla;1996
269;3370;Ethan Vernon;3;Storbritannien;Soudal - Quick Step;2000
269;3370;Andrea Bagioli;3;Italien;Soudal - Quick Step;1999
269;3370;Alex Aranburu;3;Spanien;Movistar Team;1995
269;3370;Brent Van Moer;3;Belgien;Lotto Dstny;1998
269;3370;Carlos Verona;3;Spanien;Movistar Team;1992
269;3370;Nico Denz;3;Tyskland;BORA - hansgrohe;1994
269;3370;Stephen Williams;3;Storbritannien;Israel - Premier Tech;1996
269;3370;Antwan Tolhoek;3;Nederlandene;Trek - Segafredo;1994
269;3370;Norbert Banaszek;3;Polen;HRE Mazowsze Serce Polski;1997
269;3370;Matej Zahalka;3;Tjekkiet;Elkov - Kasper;1993
269;3370;Robin Froidevaux;3;Schweiz;Tudor Pro Cycling Team;1998
269;3370;Edoardo Affini;3;Italien;Jumbo-Visma;1996
269;3370;Javier Moreno;3;Spanien;W52 / FC Porto;1984
269;3370;Luke Rowe;3;Storbritannien;INEOS Grenadiers;1990
269;3370;Tom Devriendt;3;Belgien;Q36.5 Pro Cycling Team;1991
269;3370;Richard Huera;3;Ecuador;Movistar - Best PC;1999
269;3370;Jefferson Alexander Cepeda;3;Ecuador;EF Education-EasyPost;1998
269;3370;Paulius Siskevicius;3;Litauen;-;1993
317;3928;Gregor Muhlberger;2;Østrig;Movistar Team;1994
317;3928;Salvatore Puccio;2;Italien;INEOS Grenadiers;1989
317;3928;Ruben Fernandez;2;Spanien;Cofidis;1991
317;3928;Walter Vargas;2;Colombia;Team Medellin - EPM;1992
317;3928;Lawson Craddock;2;USA;Team Jayco AlUla;1992
317;3928;Bruno Armirail;2;Frankrig;Groupama - FDJ;1994
317;3928;Raul Garcia Pierna;2;Spanien;Equipo Kern Pharma;2001
317;3928;Julius van den Berg;2;Nederlandene;EF Education-EasyPost;1996
317;3928;Davide Martinelli;2;Italien;Astana Qazaqstan Team;1993
317;3928;Edward Theuns;2;Belgien;Trek - Segafredo;1991
317;3928;Johan Le Bon;2;Frankrig;UC Briochine - Bleu Mercure;1990
317;3928;Jake Stewart;2;Storbritannien;Groupama - FDJ;1999
317;3928;Lukasz Wisniowski;2;Polen;EF Education-EasyPost;1991
